count,Headers,
2994,Lodging Houses,
2991,Variety Stores,
2783,Barbers,
2617,Restaurants & Lunch Rooms,
2496,Liquors-Retail,
2214,Physicians & Surgeons,
2125,Shoe Repairers,
2110,LAW OFFICES,
2036,"Law Books, Lawyers",
2006,Nurses,
1957,Music Teachers,
1927,Dentists,
1855,Clergyme,
1789,RESTAURANTS,
1780,Beauty Shops,
1627,BARBER SHOPS,
1551,BEAUTY SHOPS,
1526,CLERGYMEN,
1511,Lawyers,
1509,Clubs,
1381,Law Offices,
1270,Insurance Agents,
1266,Apartment Buildings,
1226,REAL ESTATE,
1212,Painters & Decorators,
1175,GASOLINE STATIONS,
1133,Gasoline & Oil Service Stations,
1101,Plumbers,
1063,Grocers-Retail,
1036,Liquor Dealers-Retail,
988,Bakers-Retail,
982,LAWYERS,
965,BEAUTY SHOPS,
937,RESTAURANTS,
896,Gasoline & Oil Service Stations,
873,DENTISTS,
855,Barber Shops,
845,DEALERS,
840,TURERS,
838,Restaurants,
829,Meats-Retail,
817,INSURANCE AGENTS,
806,Automobile Repairing,
781,Druggists-Retail,
736,PHYSICIANS AND SURGEONS,
736,Dry Goods-Retail,
734,Dressmakers,
733,Beauty Shops,
727,Real Estate,
726,REAL ESTATE,
723,VARIETY STORES,
687,INSURANCE COMPANIES,
680,CLOTHING-RETAIL,
679,BUILDINGS-OFFICE AND PUBLIC,
671,Printers-Book & Commercial,
652,Grocers-Retail ,
630,Grocers-Retall ,
628,APARTMENT BUILDINGS,
628,Grocers-Retail,
627,Shoe Dealers-Retail,
625,Laundries,
618,NURSES,
602,BUILDINGS-OFFICE AND PUBLIC,
584,Insurance Companies,
569,CLUBS,
567,DENTISTS,
553,Grocers-Retail ,
550,Grocers-Retail ,
539,JEWELERS-MANUFACTURING,
536,Grocers-Retail ,
528,Trucking & Teaming,
523,Tailors-Merchant,
520,,
513,jewelERS-MFG,
510,LODGING HOUSES,
501,MUSIC TEACHERS,
500,Gasoline Stations,
