,Address - From Geocoder,Company_Name,File_List,Geocode Score,Header,Header_Clean,Latitude,Longitude,Match Score,Query,Text
0,"1201 Eddy St, Providence, RI",LAIRD DE VOU INC Abrasive & Cutting Specialists,"['cd1978/entry/1978_Page_70 (1)_2.png', 'cd1978/entry/1978_Page_70 (1)_3.png', 'cd1978/entry/1978_Page_70 (1)_4.png']",100.0,ABRASIVE MATERIALS,ABRASIVE MATERIALS,41.79257524312588,-71.40385065747991,100.0,1201 EDDY ST PROVIDENCE,LAIRD DE VOU INC Abrasive & Cutting Specialists 1201 Eddy St (02905) Tel 781-6282
1,"16 E River St, Providence, RI",Michigan Abrasive Co,['cd1978/entry/1978_Page_70 (1)_5.png'],100.0,ABRASIVE MATERIALS,ABRASIVE MATERIALS,41.827898185917206,-71.38141546547362,100.0,16 EAST RIVER ST PROVIDENCE,Michigan Abrasive Co 16 East River St
2,"1201 Eddy St, Providence, RI",Laird De Vou Inc,['cd1978/entry/1978_Page_70 (1)_7.png'],100.0,ABRASIVES—MFRS,ABRASIVES—MFRS,41.79257524312588,-71.40385065747991,100.0,1201 EDDY ST PROVIDENCE,Laird De Vou Inc 1201 Eddy St
3,"325 Waterman St, Providence, RI",Michigan Abrasive Co (Grinding Wheel Div),"['cd1978/entry/1978_Page_70 (1)_8.png', 'cd1978/entry/1978_Page_70 (1)_9.png']",100.0,ABRASIVES—MFRS,ABRASIVES—MFRS,41.82752719926306,-71.38287526279669,100.0,325 WATERMAN ST PROVIDENCE,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
4,"85 Westminster St, Providence, RI",Home Owners Title Guarantee Co,"['cd1978/entry/1978_Page_70 (1)_11.png', 'cd1978/entry/1978_Page_70 (1)_12.png']",100.0,ABSTRACTS OF TITLE,ABSTRACTS OF TITLE,41.82463768263685,-71.41033558953653,100.0,85 WESTMINSTER ST PROVIDENCE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
5,"354 Broadway, Providence, RI",Accinno John J,['cd1978/entry/1978_Page_70 (1)_15.png'],100.0,ACCOUNT PUBLIC,ACCOUNT PUBLIC,41.8197226252177,-71.42948556396226,100.0,354 BROADWAY PROVIDENCE,Accinno John J 354 Broadway
6,"111 Westminster St, Providence, RI",Allegretti & Co,['cd1978/entry/1978_Page_70 (1)_16.png'],100.0,ACCOUNT PUBLIC,ACCOUNT PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Allegretti & Co 111 Westminster St Rm 630
7,"2 Thomas St, Providence, RI",Andreoni & Co,['cd1978/entry/1978_Page_70 (1)_17.png'],100.0,ACCOUNT PUBLIC,ACCOUNT PUBLIC,41.82753239340643,-71.40905204331916,100.0,2 THOMAS ST PROVIDENCE,Andreoni & Co 2 Thomas St
8,"111 Westminster St, Providence, RI",Blackman & Blackma,"['cd1978/entry/1978_Page_70 (1)_18.png', 'cd1978/entry/1978_Page_70 (1)_19.png']",100.0,ACCOUNT PUBLIC,ACCOUNT PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Blackman & Blackman 111 Westminster St Rm 1200
9,"170 Westminster St, Providence, RI",Campana Philip J,['cd1978/entry/1978_Page_70 (1)_20.png'],100.0,ACCOUNT PUBLIC,ACCOUNT PUBLIC,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Campana Philip J 170 Westminster St Rm 300
