,Header,Text,File_List,clean_header,score,matched
0,ABRASIVE MATERIALS,LAIRD DE VOU INC Abrasive & Cutting Specialists 1201 Eddy St (02905) Tel 781-6282,"['cd1978/entry/1978_Page_70 (1)_2.png', 'cd1978/entry/1978_Page_70 (1)_3.png', 'cd1978/entry/1978_Page_70 (1)_4.png']",ABRASIVE MATERIALS,72.0,False
1,ABRASIVE MATERIALS,Michigan Abrasive Co 16 East River St,['cd1978/entry/1978_Page_70 (1)_5.png'],ABRASIVE MATERIALS,72.0,False
2,ABRASIVES—MFRS,Laird De Vou Inc 1201 Eddy St,['cd1978/entry/1978_Page_70 (1)_7.png'],ABRASIVES—MFRS,69.5,False
3,ABRASIVES—MFRS,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St,"['cd1978/entry/1978_Page_70 (1)_8.png', 'cd1978/entry/1978_Page_70 (1)_9.png']",ABRASIVES—MFRS,69.5,False
4,ABSTRACTS OF TITLE,Home Owners Title Guarantee Co 85 Westminster St Rm 200,"['cd1978/entry/1978_Page_70 (1)_11.png', 'cd1978/entry/1978_Page_70 (1)_12.png']",ABSTRACTS OF TITLE,67.0,False
5,ACCOUNT PUBLIC,Accinno John J 354 Broadway,['cd1978/entry/1978_Page_70 (1)_15.png'],ACCOUNT PUBLIC,80.0,False
6,ACCOUNT PUBLIC,Allegretti & Co 111 Westminster St Rm 630,['cd1978/entry/1978_Page_70 (1)_16.png'],ACCOUNT PUBLIC,80.0,False
7,ACCOUNT PUBLIC,Andreoni & Co 2 Thomas St,['cd1978/entry/1978_Page_70 (1)_17.png'],ACCOUNT PUBLIC,80.0,False
8,ACCOUNT PUBLIC,Blackman & Blackman 111 Westminster St Rm 1200,"['cd1978/entry/1978_Page_70 (1)_18.png', 'cd1978/entry/1978_Page_70 (1)_19.png']",ACCOUNT PUBLIC,80.0,False
9,ACCOUNT PUBLIC,Campana Philip J 170 Westminster St Rm 300,['cd1978/entry/1978_Page_70 (1)_20.png'],ACCOUNT PUBLIC,80.0,False
10,ACCOUNT PUBLIC,"Catoni Louis 1145 Reservoir Av Cranston R I (02920) Tel 944-4450 & Co 533 Industrial Bank Bldg 111 Westminster St (02903), Te) (401) 751- 7511","['cd1978/entry/1978_Page_70 (1)_21.png', 'cd1978/entry/1978_Page_70 (1)_22.png', 'cd1978/entry/1978_Page_70 (1)_23.png', 'cd1978/entry/1978_Page_70 (1)_24.png', 'cd1978/entry/1978_Page_70 (1)_25.png']",ACCOUNT PUBLIC,80.0,False
11,ACCOUNT PUBLIC,Cohn Newton B 15 Westminster St Rm 810,['cd1978/entry/1978_Page_70 (1)_26.png'],ACCOUNT PUBLIC,80.0,False
12,ACCOUNT PUBLIC,Connor Ralph J 196 Dyer St Rm 215,['cd1978/entry/1978_Page_70 (1)_27.png'],ACCOUNT PUBLIC,80.0,False
13,ACCOUNT PUBLIC,Di Stefano & Co 741 Howard Bhig,['cd1978/entry/1978_Page_70 (1)_28.png'],ACCOUNT PUBLIC,80.0,False
14,ACCOUNT PUBLIC,"Exrnet & Ernet One Hospital Trust Plaza (02903), Tel 331-7000","['cd1978/entry/1978_Page_70 (1)_29.png', 'cd1978/entry/1978_Page_70 (1)_30.png']",ACCOUNT PUBLIC,80.0,False
15,ACCOUNT PUBLIC,,['cd1978/entry/1978_Page_70 (1)_31.png'],ACCOUNT PUBLIC,80.0,False
16,ACCOUNT PUBLIC,"Haskins & Selle 1501 Hospital Trust Tower (02903), Tel 861-0740","['cd1978/entry/1978_Page_70 (1)_32.png', 'cd1978/entry/1978_Page_70 (1)_33.png']",ACCOUNT PUBLIC,80.0,False
17,ACCOUNT PUBLIC,Levesque Cohicci & Co 245 Waterman St Rm,"['cd1978/entry/1978_Page_70 (1)_34.png', 'cd1978/entry/1978_Page_70 (1)_35.png']",ACCOUNT PUBLIC,80.0,False
18,ACCOUNT PUBLIC,Markoff Eli 111 Westminster St Rm 1915,['cd1978/entry/1978_Page_70 (1)_36.png'],ACCOUNT PUBLIC,80.0,False
19,ACCOUNT PUBLIC,Martone Robt 34 Brinkley St,['cd1978/entry/1978_Page_70 (1)_37.png'],ACCOUNT PUBLIC,80.0,False
20,ACCOUNT PUBLIC,O'Brien E L & Co 111 Westminster St Rm,"['cd1978/entry/1978_Page_70 (1)_38.png', 'cd1978/entry/1978_Page_70 (1)_39.png']",ACCOUNT PUBLIC,80.0,False
21,ACCOUNT CONTD,Peat Marwick Mitchell & Co 40 Westminster St Rm 1800,"['cd1978/entry/1978_Page_70 (2)_3.png', 'cd1978/entry/1978_Page_70 (2)_4.png']",ACCOUNT CONTD,74.0,False
22,ACCOUNT CONTD,Picchione Nicholas & Co 480 Benefit St,['cd1978/entry/1978_Page_70 (2)_5.png'],ACCOUNT CONTD,74.0,False
23,ACCOUNT CONTD,Price Waterhouse & Co 40 Westminster St (Suite 1200) (02903) Tel 421-0501,"['cd1978/entry/1978_Page_70 (2)_6.png', 'cd1978/entry/1978_Page_70 (2)_7.png']",ACCOUNT CONTD,74.0,False
24,ACCOUNT CONTD,Selinker Solomon E 472 Smith St,['cd1978/entry/1978_Page_70 (2)_8.png'],ACCOUNT CONTD,74.0,False
25,ACCOUNT CONTD,Shea Quinlan J 15 Westminster St Rm 928,['cd1978/entry/1978_Page_70 (2)_9.png'],ACCOUNT CONTD,74.0,False
26,ACCOUNT CONTD,Sholes Andrew G 40 Westminster St Rm 1005,['cd1978/entry/1978_Page_70 (2)_10.png'],ACCOUNT CONTD,74.0,False
27,ACCOUNT CONTD,Silverman Jones & Co 15 Westminster St Rm,"['cd1978/entry/1978_Page_70 (2)_11.png', 'cd1978/entry/1978_Page_70 (2)_12.png']",ACCOUNT CONTD,74.0,False
28,ACCOUNT CONTD,Villatico Guy 60 Broadway Suite G,['cd1978/entry/1978_Page_70 (2)_13.png'],ACCOUNT CONTD,74.0,False
29,ACCOUNT CONTD,Ward Fisher & Co 111 Westminster St Rm 510,"['cd1978/entry/1978_Page_70 (2)_14.png', 'cd1978/entry/1978_Page_70 (2)_15.png']",ACCOUNT CONTD,74.0,False
30,ACCOUNT CONTD,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800","['cd1978/entry/1978_Page_70 (2)_16.png', 'cd1978/entry/1978_Page_70 (2)_17.png']",ACCOUNT CONTD,74.0,False
31,ACCOUNTANTS—PUBLIC,Allen David 76 Westminster St Rm 1105,['cd1978/entry/1978_Page_70 (2)_19.png'],ACCOUNTANTS-PUBLIC,100.0,True
32,ACCOUNTANTS—PUBLIC,Ambrifi & Assoc 34 Pontiac Av Rm 1,['cd1978/entry/1978_Page_70 (2)_20.png'],ACCOUNTANTS-PUBLIC,100.0,True
33,ACCOUNTANTS—PUBLIC,Ayers Eari 547 Mt Pleasant Av,['cd1978/entry/1978_Page_70 (2)_21.png'],ACCOUNTANTS-PUBLIC,100.0,True
34,ACCOUNTANTS—PUBLIC,Barone Norman A 703 Fruit Hill Av (N Prov),['cd1978/entry/1978_Page_70 (2)_22.png'],ACCOUNTANTS-PUBLIC,100.0,True
35,ACCOUNTANTS—PUBLIC,Bergman Paul 270 Cole Av,['cd1978/entry/1978_Page_70 (2)_23.png'],ACCOUNTANTS-PUBLIC,100.0,True
36,ACCOUNTANTS—PUBLIC,Blake Harvey Accounting 1051 Broad St,['cd1978/entry/1978_Page_70 (2)_24.png'],ACCOUNTANTS-PUBLIC,100.0,True
37,ACCOUNTANTS—PUBLIC,Bresefield Wm A 224 Villa Av (N Prov),['cd1978/entry/1978_Page_70 (2)_25.png'],ACCOUNTANTS-PUBLIC,100.0,True
38,ACCOUNTANTS—PUBLIC,Brown Lawrence E 36 Whitmarsh St,['cd1978/entry/1978_Page_70 (2)_26.png'],ACCOUNTANTS-PUBLIC,100.0,True
39,ACCOUNTANTS—PUBLIC,Calabrese Joseph 24% Farmington Av,['cd1978/entry/1978_Page_70 (2)_27.png'],ACCOUNTANTS-PUBLIC,100.0,True
40,ACCOUNTANTS—PUBLIC,Cempana Falco B 135 Whitford Av,['cd1978/entry/1978_Page_70 (2)_28.png'],ACCOUNTANTS-PUBLIC,100.0,True
41,ACCOUNTANTS—PUBLIC,Ched Limited 245 Waterman St Rm 400,['cd1978/entry/1978_Page_70 (2)_29.png'],ACCOUNTANTS-PUBLIC,100.0,True
42,ACCOUNTANTS—PUBLIC,Ciolfi Alex & Co 207 Union Av,['cd1978/entry/1978_Page_70 (2)_30.png'],ACCOUNTANTS-PUBLIC,100.0,True
43,ACCOUNTANTS—PUBLIC,Clegg Geo B Public Acct 111 Westminster St Rm 617,"['cd1978/entry/1978_Page_70 (2)_31.png', 'cd1978/entry/1978_Page_70 (2)_32.png']",ACCOUNTANTS-PUBLIC,100.0,True
44,ACCOUNTANTS—PUBLIC,Clements Roy F 35 Klondike St,['cd1978/entry/1978_Page_70 (2)_33.png'],ACCOUNTANTS-PUBLIC,100.0,True
45,ACCOUNTANTS—PUBLIC,Cofman Morris & Associates 116 Wayland Av,['cd1978/entry/1978_Page_70 (2)_34.png'],ACCOUNTANTS-PUBLIC,100.0,True
46,ACCOUNTANTS—PUBLIC,Corrente Frank E 111 Westminster St Rm 523,['cd1978/entry/1978_Page_70 (2)_35.png'],ACCOUNTANTS-PUBLIC,100.0,True
47,ACCOUNTANTS—PUBLIC,D'Amico Robt A & Co 515 Smith St,['cd1978/entry/1978_Page_70 (2)_36.png'],ACCOUNTANTS-PUBLIC,100.0,True
48,ACCOUNTANTS—PUBLIC,David Bennie A 168 Broadway,['cd1978/entry/1978_Page_70 (2)_37.png'],ACCOUNTANTS-PUBLIC,100.0,True
49,ACCOUNTANTS—PUBLIC,Della Ventura Guy 36 Olneyville Sq Rm 5,['cd1978/entry/1978_Page_70 (2)_38.png'],ACCOUNTANTS-PUBLIC,100.0,True
50,ACCOUNTANTS—PUBLIC,Di Chiara Mich] W 1410 Mineral Spring Av(N Prov),"['cd1978/entry/1978_Page_70 (2)_39.png', 'cd1978/entry/1978_Page_70 (2)_40.png']",ACCOUNTANTS-PUBLIC,100.0,True
51,ACCOUNTANTS—PUBLIC,Drummond Accounting Service 850 Admiral St,['cd1978/entry/1978_Page_70 (2)_41.png'],ACCOUNTANTS-PUBLIC,100.0,True
52,ACCOUNTANTS—PUBLIC,Duffy A Edgell 170 Westminster St Rm 300,['cd1978/entry/1978_Page_70 (2)_42.png'],ACCOUNTANTS-PUBLIC,100.0,True
53,ACCOUNTANTS—PUBLIC,Dufour Keenan Tripp 76 Westminster St Rm 315,"['cd1978/entry/1978_Page_70 (2)_43.png', 'cd1978/entry/1978_Page_70 (2)_44.png']",ACCOUNTANTS-PUBLIC,100.0,True
54,ACCOUNTANTS—PUBLIC,Tiwdn Ineanh A 97 Alannmin St,['cd1978/entry/1978_Page_70 (2)_45.png'],ACCOUNTANTS-PUBLIC,100.0,True
55,ACCOUNTANTS—PUBLIC—CONTD,"EDSON HUBERT 849 N Main St (02904), Tel 831-1470","['cd1978/entry/1978_Page_70 (3)_2.png', 'cd1978/entry/1978_Page_70 (3)_3.png']",ACCOUNTANTS-PUBLIC,100.0,True
