,Drop_Reason,File_List,Street,Text
0,"SCORE LESS THAN CUTOFF: Howard Bhig,76.0,PROVIDENCE",['cd1978/entry/1978_Page_70 (1)_28.png'],NORTH HOWARD AVE,Di Stefano & Co 741 Howard Bhig
1,ERROR IN STREET MATCHING,"['cd1978/entry/1978_Page_70 (1)_29.png', 'cd1978/entry/1978_Page_70 (1)_30.png']","02903),","Exrnet & Ernet One Hospital Trust Plaza (02903), Tel 331-7000"
2,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_70 (1)_31.png'],N/A,
3,"SCORE LESS THAN CUTOFF: Hospital Trust Tower,78.5,PROVIDENCE","['cd1978/entry/1978_Page_70 (1)_32.png', 'cd1978/entry/1978_Page_70 (1)_33.png']",HOSPITAL ST,"Haskins & Selle 1501 Hospital Trust Tower (02903), Tel 861-0740"
4,"SCORE LESS THAN CUTOFF: Alannmin St,71.5,PROVIDENCE",['cd1978/entry/1978_Page_70 (2)_45.png'],MANNING ST,Tiwdn Ineanh A 97 Alannmin St
5,"SCORE LESS THAN CUTOFF: th Fi,65.0,PROVIDENCE",['cd1978/entry/1978_Page_70 (3)_4.png'],4TH ST,Ernst & Ernst One Hosp Trust Plaza 17th Fi
6,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_71 (1)_32.png'],N/A,G T SAFETY EQUIPMENT INC
7,"SCORE LESS THAN CUTOFF: Howard Bidg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_71 (1)_48.png'],NORTH HOWARD AVE,Underwriters Adjusting Co 630 Howard Bidg
8,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_71 (1)_86.png'],NORTH HOWARD AVE,King J Howard Inc 220 Howard Bldg
9,"SCORE LESS THAN CUTOFF: Howard Bldg,76.0,PROVIDENCE",['cd1978/entry/1978_Page_71 (2)_10.png'],NORTH HOWARD AVE,Patterson George Co Inc Rm434 Howard Bldg
10,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_71 (3)_4.png'],N/A,American Airlines Howard Bldg
11,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_71 (3)_38.png'],N/A,
12,EMPTY STREET,"['cd1978/entry/1978_Page_72 (1)_13.png', 'cd1978/entry/1978_Page_72 (1)_14.png']",,Horn Of Plenty Antiques The Weybosset St 4th Fl
13,EMPTY STREET,['cd1978/entry/1978_Page_72 (2)_15.png'],,Eight Elmgrove Av Apts 8 Elmgrove Av
14,EMPTY STREET,['cd1978/entry/1978_Page_72 (2)_32.png'],,Fifty Common St Apts 50 Common St
15,"SCORE LESS THAN CUTOFF: -14 Ternay Gardens,72.0,PROVIDENCE",['cd1978/entry/1978_Page_72 (3)_68.png'],GARDEN ST,Yorktown Village Apts 1-14 Ternay Gardens
16,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_73 (1)_58.png'],N/A,
17,"SCORE LESS THAN CUTOFF: Ceramics Arts Inc 131 Academy Av:,49.0,PROVIDENCE",['cd1978/entry/1978_Page_73 (3)_61.png'],SERVICE RD NO. 1,Studio 89 Ceramics Arts Inc 131 Academy Av:
18,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_73 (3)_67.png'],N/A,
19,"SCORE LESS THAN CUTOFF: Hospital Trust Tower Providence, RI 02903,71.0,PROVIDENCE","['cd1978/entry/1978_Page_73 (3)_71.png', 'cd1978/entry/1978_Page_73 (3)_72.png']",PROVIDENCE PL,"Letts Quinn & Licht 1616 Hospital Trust Tower Providence, RI 02903 Tel 421-5650 ~"
20,"SCORE LESS THAN CUTOFF: 272-8800 AUCTIONEERS wee.,50.5,PROVIDENCE","['cd1978/entry/1978_Page_73 (3)_73.png', 'cd1978/entry/1978_Page_73 (3)_74.png', 'cd1978/entry/1978_Page_73 (3)_75.png', 'cd1978/entry/1978_Page_73 (3)_76.png']",FALCONER ST,“4 272-8800 AUCTIONEERS  wee.
21,EMPTY STREET,"['cd1978/entry/1978_Page_74 (3)_52.png', 'cd1978/entry/1978_Page_74 (3)_53.png', 'cd1978/entry/1978_Page_74 (3)_54.png']",3 ,"WEBBER CHEVROLET CO Tioque Av, Route 3 (Coventry, R I; 02816), Tel 821-8700"
22,"SCORE LESS THAN CUTOFF: 1,50.0,PROVIDENCE",['cd1978/entry/1978_Page_75 (3)_65.png'],1ST ST,Lori’s Auto Seat Cover & Glass Co 661
23,EMPTY STREET,['cd1978/entry/1978_Page_75 (3)_66.png'],,’ Plainfield St
24,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_75 (3)_72.png'],N/A,
25,FAILED TO PARSE AN ADDRESS,['cd1978/entry/1978_Page_75 (3)_73.png'],N/A,POLK RL & CO
