,Index,Address,City,Clean_Header,Company_Name,Conf_Score,File_List,Header,Text
0,10,1145 RESERVOIR AVE,PROVIDENCE,ACCOUNT PUBLIC,Catoni Louis,100.0,"['cd1978/entry/1978_Page_70 (1)_21.png', 'cd1978/entry/1978_Page_70 (1)_22.png', 'cd1978/entry/1978_Page_70 (1)_23.png', 'cd1978/entry/1978_Page_70 (1)_24.png', 'cd1978/entry/1978_Page_70 (1)_25.png']",ACCOUNT PUBLIC,"Catoni Louis 1145 Reservoir Av Cranston R I (02920) Tel 944-4450 & Co 533 Industrial Bank Bldg 111 Westminster St (02903), Te) (401) 751- 7511"
1,18,480 BENEFIT ST,PROVIDENCE,ACCOUNT CONTD,Picchione Nicholas & Co,100.0,['cd1978/entry/1978_Page_70 (2)_5.png'],ACCOUNT CONTD,Picchione Nicholas & Co 480 Benefit St
2,43,36 OLNEYVILLE SQ,PROVIDENCE,ACCOUNTANTS-PUBLIC,Della Ventura Guy,100.0,['cd1978/entry/1978_Page_70 (2)_38.png'],ACCOUNTANTS—PUBLIC,Della Ventura Guy 36 Olneyville Sq Rm 5
3,60,347 MARVIN ST,PROVIDENCE,ACCOUNTANTS-PUBLIC,"Kaufman Miller & Company 300 Old Colony Bldg,",84.0,"['cd1978/entry/1978_Page_70 (3)_20.png', 'cd1978/entry/1978_Page_70 (3)_21.png', 'cd1978/entry/1978_Page_70 (3)_22.png']",ACCOUNTANTS—PUBLIC—CONTD,"Kaufman Miller & Company 300 Old Colony Bldg, 347 Main St (Pawtucket, R I; 02862), Tel 725-8300"
4,93,36 KENNEDY PLZ,PROVIDENCE,ACCOUNTANTS-PUBLIC,Tabulex,96.0,['cd1978/entry/1978_Page_71 (1)_26.png'],ACCOUNTANTS—PUBLIC—CONTD,Tabulex 36 Kennedy Plaza Rm 516
5,127,36 KENNEDY PLZ,PROVIDENCE,ADVERTISING AGENCIES,Lorimer John A,96.0,['cd1978/entry/1978_Page_71 (2)_3.png'],ADVERTISING AGENCIES—CONTD,Lorimer John A 36 Kennedy Plaza Rm 415
6,149,36 KENNEDY PLZ,PROVIDENCE,ADVERTISING—DIRECT MAIL,Baker W F Co Inc,96.0,['cd1978/entry/1978_Page_71 (2)_42.png'],ADVERTISING—DIRECT MAIL,Baker W F Co Inc 36 Kennedy Plaza Rm 206
7,164,32 WESTMINSTER ST,PROVIDENCE,AIRCRAFT CHARTER AND RENTAL SERVICE,De Hauilland Aircraft Leasing Co,100.0,"['cd1978/entry/1978_Page_71 (3)_7.png', 'cd1978/entry/1978_Page_71 (3)_8.png']",AIRCRAFT CHARTER AND RENTAL SERVICE,De Hauilland Aircraft Leasing Co 32 Westminster St Rm 600
8,173,156 WARREN AVE,PROVIDENCE,AMBULANCE SERVICE,EAST PROVIDENCE AMBULANCE CO,100.0,"['cd1978/entry/1978_Page_71 (3)_32.png', 'cd1978/entry/1978_Page_71 (3)_33.png']",AMBULANCE SERVICE,"EAST PROVIDENCE AMBULANCE CO 156 Warren Av (02914), Tel 434-3500"
9,220,347 PINE ST,PROVIDENCE,APARTMENTS AND TOWN HOUSES,Bellini Apts,100.0,['cd1978/entry/1978_Page_72 (1)_46.png'],APARTMENTS AND TOWN HOUSES,Bellini Apts 347 Pine St
