,threshold
./imgs/1978_Page_70,160
./imgs/1978_Page_82,160
./imgs/1978_Page_85,160
./imgs/1978_Page_79,160
./imgs/1978_Page_76,160
./imgs/1978_Page_73,160
./imgs/1978_Page_71,160
./imgs/1978_Page_86,160
./imgs/1978_Page_83,160
./imgs/1978_Page_80,160
./imgs/1978_Page_74,160
./imgs/1978_Page_77,160
./imgs/1978_Page_72,160
./imgs/1978_Page_84,160
./imgs/1978_Page_87,160
./imgs/1978_Page_81,160
./imgs/1978_Page_75,160
./imgs/1978_Page_78,160
./imgs/1978_Page_91,160
./imgs/1978_Page_88,160
./imgs/1978_Page_94,160
./imgs/1978_Page_97,160
./imgs/1978_Page_100,160
./imgs/1978_Page_103,160
./imgs/1978_Page_92,160
./imgs/1978_Page_98,160
./imgs/1978_Page_89,160
./imgs/1978_Page_95,160
./imgs/1978_Page_101,160
./imgs/1978_Page_104,160
./imgs/1978_Page_93,160
./imgs/1978_Page_96,160
./imgs/1978_Page_99,160
./imgs/1978_Page_90,160
./imgs/1978_Page_102,160
./imgs/1978_Page_105,160
./imgs/1978_Page_106,160
./imgs/1978_Page_109,160
./imgs/1978_Page_112,160
./imgs/1978_Page_115,160
./imgs/1978_Page_118,160
./imgs/1978_Page_121,160
./imgs/1978_Page_107,160
./imgs/1978_Page_110,160
./imgs/1978_Page_113,160
./imgs/1978_Page_116,160
./imgs/1978_Page_119,160
./imgs/1978_Page_122,160
./imgs/1978_Page_108,160
./imgs/1978_Page_111,160
./imgs/1978_Page_114,160
./imgs/1978_Page_117,160
./imgs/1978_Page_120,160
./imgs/1978_Page_123,160
./imgs/1978_Page_124,160
./imgs/1978_Page_127,160
./imgs/1978_Page_128,160
./imgs/1978_Page_125,160
./imgs/1978_Page_126,160
